;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
41;73;77;35;22;81;58;30;35;36;59;42;53;40;53;34;63;31;58;73;64;83;50;81;70;25;40;68;74;76;71;11;12;12;15;15;26;182,88;168;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
42;73;77;35;22;81;53;30;35;36;59;42;53;31;55;34;63;31;58;73;64;88;50;81;67;25;40;68;72;76;71;11;12;12;15;15;24;187,96;174;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
43;69;71;67;28;61;64;49;52;58;49;60;63;80;77;81;67;62;50;74;80;71;53;63;67;22;57;38;65;68;68;14;13;8;7;8;24;182,88;165;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
44;66;70;66;27;60;63;48;51;57;48;59;62;78;77;77;66;62;49;74;80;71;52;62;66;21;56;37;61;65;64;13;12;7;6;7;38;187,96;218;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
45;73;76;67;80;66;69;69;68;53;49;63;61;90;91;87;73;81;70;79;78;58;63;51;43;78;66;63;43;44;46;12;14;8;7;9;23;175,26;165;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
46;72;75;67;78;66;69;66;68;53;49;63;66;90;91;87;72;81;65;79;77;58;57;51;43;76;68;63;43;44;46;12;14;8;7;9;36;185,42;181;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
47;73;75;64;69;68;75;69;76;64;72;67;75;74;76;74;73;60;73;71;71;74;72;54;49;66;71;68;44;36;24;8;14;14;8;13;22;187,96;170;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
48;71;75;60;66;67;74;72;75;63;71;66;74;77;78;74;72;60;75;71;74;71;74;53;48;65;73;67;43;35;23;7;13;13;7;12;26;182,88;165;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
49;69;74;12;11;13;34;14;15;15;14;25;17;42;40;57;71;52;19;66;31;75;12;18;24;11;24;20;19;20;12;70;63;63;70;75;25;182,88;168;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
50;73;79;68;70;66;75;67;75;41;42;74;75;65;67;60;68;64;75;71;83;75;74;75;71;58;77;45;69;71;65;15;12;12;15;14;28;182,88;190;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
